user_id,selected_test_positive_item,test_positive_count,train_degree,listwise_jsd_mean,listwise_jsd_std_across_permutations,original_positive_probability,permuted_positive_probability_mean,positive_probability_change
0,164,1,3,0.0580611117184,0.00949717126787,0.181340932846,0.152190610766,-0.0291503220797
1,2530,10,28,0.0650756061077,0.0100140441209,0.0165869873017,0.0135548040271,-0.00303218327463
2,5029,8,21,0.0584591627121,0.016427423805,0.0216790251434,0.0352975614369,0.0136185362935
3,114,15,26,0.015471839346,0.00710208714008,0.636536478996,0.667362272739,0.0308257937431
4,6857,2,27,0.105115532875,0.0161811951548,0.22032533586,0.151113733649,-0.069211602211
5,8805,14,29,0.0602659843862,0.0107269398868,0.13491691649,0.12316993624,-0.0117469802499
6,3200,4,20,0.0561660639942,0.00786946807057,0.0138247394934,0.0219170227647,0.00809228327125
7,3363,5,16,0.0292613711208,0.00844195205718,0.635833621025,0.456600815058,-0.179232805967
8,3298,1,12,0.132989987731,0.0291026681662,0.800598740578,0.331158697605,-0.469440042973
9,1322,2,12,0.0715667903423,0.0170409735292,0.169400960207,0.196196913719,0.0267959535122
10,154,2,7,0.0498900748789,0.0323521979153,0.0817915946245,0.0747669637203,-0.0070246309042
11,2968,7,12,0.0354094319046,0.0165967363864,0.518833518028,0.393589287996,-0.125244230032
12,131,5,18,0.00310090277344,0.000968850043137,0.972151637077,0.958887398243,-0.0132642388344
13,7819,10,31,0.0379352904856,0.0103152794763,0.0156041523442,0.00493140844628,-0.0106727443635
14,590,12,51,0.0702959448099,0.0564697124064,0.205486938357,0.132177248597,-0.0733096897602
15,164,8,18,0.0425507612526,0.00335433171131,0.214259549975,0.107165403664,-0.107094146311
16,8589,54,162,0.0258796215057,0.00585800409317,0.0181455351412,0.0159442890435,-0.00220124609768
17,1070,25,75,0.0431558154523,0.0170562211424,0.248748481274,0.132121875882,-0.116626605392
18,208,8,10,0.137799486518,0.0547911301255,0.765878558159,0.347616165876,-0.418262392282
19,377,24,63,0.0122357634827,0.00736639881507,0.914228141308,0.904240369797,-0.00998777151108
20,5666,14,56,0.0685550794005,0.0246384423226,0.346350878477,0.275258153677,-0.0710927248001
21,1082,9,16,0.0409540049732,0.016713000834,0.12652811408,0.111888580024,-0.0146395340562
22,4474,4,17,0.0426485873759,0.00358758424409,0.0940112620592,0.042738173157,-0.0512730889022
23,608,6,30,0.0497800968587,0.0295118428767,0.21166613698,0.201133653522,-0.0105324834585
24,395,9,28,0.0817497074604,0.0364966057241,0.456404149532,0.291018277407,-0.165385872126
25,344,17,38,0.0215485487133,0.00988844409585,0.433063715696,0.580331802368,0.147268086672
26,5671,1,12,0.0507359653711,0.0247101057321,0.896877586842,0.658062279224,-0.238815307617
27,704,4,18,0.0176130458713,0.0215490609407,0.230813145638,0.343128532171,0.112315386534
28,733,2,3,0.144571438432,0.0545508340001,0.800776302814,0.321942090988,-0.478834211826
29,681,2,21,0.0387921221554,0.0166473910213,0.292854487896,0.32871606946,0.0358615815639
30,7945,16,31,0.031959336251,0.0375050641596,0.894093334675,0.803331553936,-0.0907617807388
31,665,5,23,0.00176024984103,0.00192141684238,0.996643781662,0.988680541515,-0.00796324014664
32,5968,4,10,0.0193946883082,0.00965351145715,0.77962487936,0.788623094559,0.00899821519852
34,628,1,4,0.0645862221718,0.0201697647572,0.722695410252,0.476224571466,-0.246470838785
35,7321,1,4,0.109419904649,0.032977912575,0.454710125923,0.170335590839,-0.284374535084
36,710,5,19,0.00937641784549,0.00581160653383,0.934354424477,0.894168674946,-0.0401857495308
37,705,1,12,0.0247232411057,0.00702076777816,0.713129997253,0.529956519604,-0.18317347765
38,674,8,28,0.00315030105412,0.00227577239275,0.980119645596,0.957776844501,-0.0223428010941
39,5977,6,25,0.0224485322833,0.0159488040954,0.320138037205,0.217377781868,-0.102760255337
40,5969,11,29,0.0343482196331,0.0304361712188,0.92932254076,0.807243824005,-0.122078716755
41,681,5,14,0.0485108196735,0.03088648431,0.594791471958,0.501452684402,-0.0933387875557
42,627,7,21,0.0385013744235,0.0155896777287,0.995095133781,0.871322333813,-0.123772799969
43,652,6,13,0.0108373286203,0.00274931197055,0.938889443874,0.872239649296,-0.0666497945786
44,620,2,4,0.107799530029,0.0394923761487,0.472903221846,0.540472507477,0.0675692856312
45,720,1,1,0.0615003407001,0.0384237095714,0.581008017063,0.725357830524,0.144349813461
46,672,2,4,0.0835155472159,0.0521305650473,0.744367301464,0.446323305368,-0.298043996096
47,737,2,2,0.0249515082687,0.00593144074082,0.783620774746,0.633806407452,-0.149814367294
48,678,2,3,0.116095513105,0.0497864224017,0.785383164883,0.376452594995,-0.408930569887
49,635,2,2,0.0292824115604,0.00809496734291,0.354148119688,0.287222862244,-0.0669252574444
51,629,1,5,0.0274068098515,0.0151770021766,0.994363665581,0.902850806713,-0.0915128588676
